symbol,sector,industry,price
RM,Finance,Finance/Rental/Leasing,
CSTM,Commercial Services,Miscellaneous Commercial Services,
BGH,Miscellaneous,Investment Trusts/Mutual Funds,
FCT,Miscellaneous,Investment Trusts/Mutual Funds,
CRESY,Finance,Real Estate Development,
WPX,Energy Minerals,Oil & Gas Production,
HI,Producer Manufacturing,Industrial Conglomerates,
WMC,Finance,Real Estate Investment Trusts,
TRK,Industrial Services,Engineering & Construction,
NCB,Miscellaneous,Investment Trusts/Mutual Funds,
IHD,Miscellaneous,Investment Trusts/Mutual Funds,
SBUX,Consumer Services,Restaurants,
MRC,Distribution Services,Wholesale Distributors,
APO,Finance,Investment Managers,
MTLS,Technology Services,Packaged Software,
SENEB,Consumer Non-Durables,Food: Specialty/Candy,
ALX,Finance,Real Estate Investment Trusts,
JBHT,Transportation,Trucking,
RAX,Energy Minerals,Oil & Gas Production,
FR,Finance,Real Estate Investment Trusts,
BHP,Non-Energy Minerals,Other Metals/Minerals,
ESS,Finance,Real Estate Investment Trusts,
MHF,Miscellaneous,Investment Trusts/Mutual Funds,
COKE,Consumer Non-Durables,Beverages: Non-Alcoholic,
CBSH,Finance,Regional Banks,
CPS,Producer Manufacturing,Auto Parts: OEM,
GPM,Miscellaneous,Investment Trusts/Mutual Funds,
HTBK,Finance,Regional Banks,
TCRZ,Finance,Investment Managers,
EGOV,Technology Services,Internet Software/Services,
SNE,Consumer Durables,Electronics/Appliances,
SCHL,Consumer Services,Publishing: Books/Magazines,
FOSL,Consumer Durables,Other Consumer Specialties,
DISCK,Consumer Services,Cable/Satellite TV,
LOGI,Electronic Technology,Computer Peripherals,
RBS,Finance,Major Banks,
MTOR,Producer Manufacturing,Auto Parts: OEM,
LYTS,Producer Manufacturing,Building Products,
CUTR,Health Technology,Medical Specialties,
HIG,Finance,Multi-Line Insurance,
CNBKA,Finance,Regional Banks,
FHN,Finance,Regional Banks,
EHI,Miscellaneous,Investment Trusts/Mutual Funds,
PNI,Miscellaneous,Investment Trusts/Mutual Funds,
USAC,Industrial Services,Oilfield Services/Equipment,
LND,Process Industries,Agricultural Commodities/Milling,
GFI,Non-Energy Minerals,Precious Metals,
PTNR,Communications,Wireless Telecommunications,
BEN,Finance,Investment Managers,
TKC,Communications,Wireless Telecommunications,
UDR,Finance,Real Estate Investment Trusts,
RUTH,Consumer Services,Restaurants,
LKQ,Consumer Durables,Automotive Aftermarket,
PKT,Finance,Financial Conglomerates,
FPL,Miscellaneous,Investment Trusts/Mutual Funds,
SQ,Technology Services,Information Technology Services,
CVCO,Consumer Durables,Homebuilding,
CFI,Finance,Real Estate Development,
OIIM,Electronic Technology,Semiconductors,
EVA,Process Industries,Industrial Specialties,
DBL,Miscellaneous,Investment Trusts/Mutual Funds,
AIV,Finance,Real Estate Investment Trusts,
CMC,Non-Energy Minerals,Steel,
ELGX,Health Technology,Medical Specialties,
VNET,Technology Services,Internet Software/Services,
CASS,Technology Services,Data Processing Services,
IDA,Utilities,Electric Utilities,
ICE,Finance,Investment Banks/Brokers,
JMF,Miscellaneous,Investment Trusts/Mutual Funds,
QEP,Energy Minerals,Oil & Gas Production,
CB,Finance,Property/Casualty Insurance,
R,Finance,Finance/Rental/Leasing,
RENT,Miscellaneous,Investment Trusts/Mutual Funds,
PRAH,Commercial Services,Miscellaneous Commercial Services,
FOE,Process Industries,Industrial Specialties,
INOV,Technology Services,Data Processing Services,
ES,Utilities,Electric Utilities,
TBBK,Finance,Regional Banks,
CIA,Finance,Life/Health Insurance,
CMP,Process Industries,Chemicals: Specialty,
SRF,Process Industries,Industrial Specialties,
FBHS,Producer Manufacturing,Building Products,
MANH,Technology Services,Packaged Software,
HAE,Health Technology,Medical Specialties,
CRK,Energy Minerals,Oil & Gas Production,
EOT,Miscellaneous,Investment Trusts/Mutual Funds,
TEN,Producer Manufacturing,Auto Parts: OEM,
DPS,Consumer Durables,Home Furnishings,
PWR,Industrial Services,Engineering & Construction,
HMST,Finance,Regional Banks,
ENV,Technology Services,Packaged Software,
ENS,Producer Manufacturing,Electrical Products,
PDS,Industrial Services,Contract Drilling,
JHI,Miscellaneous,Investment Trusts/Mutual Funds,
IRBT,Consumer Durables,Electronics/Appliances,
DLTR,Retail Trade,Discount Stores,
INFN,Electronic Technology,Telecommunications Equipment,
EL,Consumer Non-Durables,Household/Personal Care,
HY,Producer Manufacturing,Trucks/Construction/Farm Machinery,
CHKP,Technology Services,Internet Software/Services,
SIVB,Finance,Regional Banks,
SXE,Industrial Services,Engineering & Construction,
STAG,Finance,Real Estate Investment Trusts,
UNM,Finance,Life/Health Insurance,
PDCO,Distribution Services,Medical Distributors,
SCG,Utilities,Electric Utilities,
CBRL,Consumer Services,Restaurants,
VAC,Consumer Services,Other Consumer Services,
ACG,Process Industries,Agricultural Commodities/Milling,
BHLB,Finance,Regional Banks,
TRMR,Commercial Services,Advertising/Marketing Services,
ZBK,Miscellaneous,Investment Trusts/Mutual Funds,
ZMH,Finance,Real Estate Development,
BV,Commercial Services,Miscellaneous Commercial Services,
NID,Miscellaneous,Investment Trusts/Mutual Funds,
Z,Technology Services,Information Technology Services,
PNM,Utilities,Electric Utilities,
SGMO,Health Technology,Biotechnology,
ALTR,Technology Services,Packaged Software,
ZTR,Miscellaneous,Investment Trusts/Mutual Funds,
CHD,Consumer Non-Durables,Household/Personal Care,
MDCA,Commercial Services,Advertising/Marketing Services,
TDC,Electronic Technology,Computer Processing Hardware,
EPIQ,Miscellaneous,Investment Trusts/Mutual Funds,
CACI,Technology Services,Information Technology Services,
FPI,Finance,Real Estate Investment Trusts,
DWSN,Technology Services,Data Processing Services,
GAM,Miscellaneous,Investment Trusts/Mutual Funds,
SPG,Finance,Real Estate Investment Trusts,
UFCS,Finance,Property/Casualty Insurance,
CWT,Utilities,Water Utilities,
FOR,Finance,Real Estate Development,
SLM,Finance,Finance/Rental/Leasing,
UMBF,Finance,Regional Banks,
NHF,Miscellaneous,Investment Trusts/Mutual Funds,
MYGN,Health Technology,Biotechnology,
EHTH,Finance,Life/Health Insurance,
GIFI,Producer Manufacturing,Metal Fabrication,
MDC,Consumer Durables,Homebuilding,
WTS,Producer Manufacturing,Industrial Machinery,
THRM,Producer Manufacturing,Auto Parts: OEM,
GEL,Industrial Services,Oil & Gas Pipelines,
WASH,Finance,Regional Banks,
PCQ,Miscellaneous,Investment Trusts/Mutual Funds,
MMM,Producer Manufacturing,Industrial Conglomerates,
IPCC,Transportation,Marine Shipping,
CHSCL,Process Industries,Agricultural Commodities/Milling,
TROX,Process Industries,Chemicals: Specialty,
CEE,Miscellaneous,Investment Trusts/Mutual Funds,
CCS,Consumer Durables,Homebuilding,
INO,Health Technology,Medical Specialties,
KOS,Energy Minerals,Oil & Gas Production,
EBS,Health Technology,Biotechnology,
AMRS,Process Industries,Chemicals: Specialty,
WR,Finance,Real Estate Development,
KEYS,Electronic Technology,Electronic Equipment/Instruments,
NICK,Finance,Finance/Rental/Leasing,
TGP,Transportation,Marine Shipping,
F,Consumer Durables,Motor Vehicles,
SAN,Finance,Major Banks,
IP,Process Industries,Containers/Packaging,
SEAS,Consumer Services,Movies/Entertainment,
CVI,Energy Minerals,Oil Refining/Marketing,
MEG,Energy Minerals,Oil & Gas Production,
WDR,Finance,Investment Managers,
PSTG,Electronic Technology,Computer Peripherals,
SGF,Finance,Finance/Rental/Leasing,
DVD,Consumer Services,Movies/Entertainment,
CIM,Finance,Real Estate Investment Trusts,
ITRN,Electronic Technology,Telecommunications Equipment,
AJRD,Electronic Technology,Aerospace & Defense,
PPP,Energy Minerals,Oil & Gas Production,
MHN,Miscellaneous,Investment Trusts/Mutual Funds,
WING,Consumer Services,Restaurants,
AVAV,Electronic Technology,Aerospace & Defense,
GNW,Finance,Life/Health Insurance,
NUO,Miscellaneous,Investment Trusts/Mutual Funds,
GDL,Miscellaneous,Investment Trusts/Mutual Funds,
PMC,Non-Energy Minerals,Precious Metals,
AIF,Miscellaneous,Investment Trusts/Mutual Funds,
MASI,Health Technology,Medical Specialties,
BAK,Process Industries,Chemicals: Specialty,
PML,Miscellaneous,Investment Trusts/Mutual Funds,
COF,Finance,Major Banks,
DORM,Consumer Durables,Automotive Aftermarket,
SA,Non-Energy Minerals,Precious Metals,
YUM,Consumer Services,Restaurants,
ULTI,Technology Services,Packaged Software,
UE,Finance,Real Estate Investment Trusts,
NEP,Utilities,Alternative Power Generation,
COO,Health Technology,Medical Specialties,
ARRS,Electronic Technology,Telecommunications Equipment,
CATO,Retail Trade,Apparel/Footwear Retail,
LITB,Retail Trade,Internet Retail,
CVA,Industrial Services,Environmental Services,
SHG,Finance,Financial Conglomerates,
ALSK,Communications,Major Telecommunications,
NICE,Technology Services,Information Technology Services,
SYBT,Finance,Regional Banks,
LCI,Health Technology,Pharmaceuticals: Major,
CNA,Finance,Multi-Line Insurance,
FUN,Consumer Services,Movies/Entertainment,
UTF,Miscellaneous,Investment Trusts/Mutual Funds,
SC,Finance,Finance/Rental/Leasing,
VFC,Consumer Non-Durables,Apparel/Footwear,
CLS,Electronic Technology,Electronic Components,
GM,Consumer Durables,Motor Vehicles,
UZA,Communications,Wireless Telecommunications,
ROL,Consumer Services,Other Consumer Services,
IHG,Consumer Services,Hotels/Resorts/Cruise lines,
BXP,Finance,Real Estate Investment Trusts,
ROK,Producer Manufacturing,Electrical Products,
TVE,Finance,Finance/Rental/Leasing,
HHC,Finance,Real Estate Development,
TYG,Miscellaneous,Investment Trusts/Mutual Funds,
AVNW,Electronic Technology,Telecommunications Equipment,
MGF,Miscellaneous,Investment Trusts/Mutual Funds,
CTSH,Technology Services,Information Technology Services,
CHSCM,Process Industries,Agricultural Commodities/Milling,
HBAN,Finance,Regional Banks,
KNOP,Transportation,Marine Shipping,
RES,Industrial Services,Oilfield Services/Equipment,
ODFL,Transportation,Trucking,
BCS,Finance,Major Banks,
FFG,Finance,Life/Health Insurance,
ANAT,Finance,Multi-Line Insurance,
BPT,Miscellaneous,Investment Trusts/Mutual Funds,
KRNT,Producer Manufacturing,Industrial Machinery,
FFIV,Electronic Technology,Computer Communications,
BTU,Energy Minerals,Coal,
BW,Electronic Technology,Electronic Equipment/Instruments,
SSI,Non-Energy Minerals,Steel,
LEN,Consumer Durables,Homebuilding,
EPR,Finance,Real Estate Investment Trusts,
WNC,Producer Manufacturing,Trucks/Construction/Farm Machinery,
NOM,Miscellaneous,Investment Trusts/Mutual Funds,
WDC,Electronic Technology,Computer Peripherals,
NTX,Technology Services,Packaged Software,
MSG,Non-Energy Minerals,Other Metals/Minerals,
SNN,Health Technology,Medical Specialties,
SSL,Process Industries,Chemicals: Specialty,
RESI,Finance,Real Estate Investment Trusts,
CRR,Retail Trade,Food Retail,
EDU,Consumer Services,Other Consumer Services,
TSEM,Electronic Technology,Semiconductors,
VEC,Commercial Services,Miscellaneous Commercial Services,
NAV,Producer Manufacturing,Trucks/Construction/Farm Machinery,
FSTR,Producer Manufacturing,Trucks/Construction/Farm Machinery,
BWA,Producer Manufacturing,Auto Parts: OEM,
JRVR,Finance,Property/Casualty Insurance,
PAA,Industrial Services,Oil & Gas Pipelines,
IT,Commercial Services,Miscellaneous Commercial Services,
MNR,Finance,Real Estate Investment Trusts,
MHD,Miscellaneous,Investment Trusts/Mutual Funds,
GIL,Consumer Non-Durables,Apparel/Footwear,
JHY,Miscellaneous,Investment Trusts/Mutual Funds,
WTFC,Finance,Regional Banks,
HPQ,Electronic Technology,Computer Processing Hardware,
ITCI,Health Technology,Biotechnology,
MTGEP,Finance,Real Estate Investment Trusts,
IPG,Commercial Services,Advertising/Marketing Services,
SHOP,Retail Trade,Internet Retail,
HTH,Finance,Regional Banks,
NAVG,Finance,Property/Casualty Insurance,
JCAP,Finance,Real Estate Development,
DMO,Miscellaneous,Investment Trusts/Mutual Funds,
TLI,Miscellaneous,Investment Trusts/Mutual Funds,
MTD,Health Technology,Medical Specialties,
FCFS,Finance,Finance/Rental/Leasing,
MGIC,Technology Services,Packaged Software,
PBF,Energy Minerals,Oil Refining/Marketing,
STRA,Consumer Services,Other Consumer Services,
ATEC,Health Technology,Medical Specialties,
HCSG,Commercial Services,Miscellaneous Commercial Services,
WEA,Miscellaneous,Investment Trusts/Mutual Funds,
CPE,Energy Minerals,Oil & Gas Production,
PPG,Process Industries,Industrial Specialties,
SABR,Technology Services,Packaged Software,
MHI,Miscellaneous,Investment Trusts/Mutual Funds,
CPF,Finance,Regional Banks,
ASG,Miscellaneous,Investment Trusts/Mutual Funds,
KYN,Finance,Investment Managers,
FSAM,Finance,Investment Managers,
MFG,Finance,Major Banks,
BRFS,Consumer Non-Durables,Food: Meat/Fish/Dairy,
VLGEA,Retail Trade,Food Retail,
ECHO,Transportation,Other Transportation,
BSAC,Finance,Regional Banks,
GDV,Miscellaneous,Investment Trusts/Mutual Funds,
IGLD,Communications,Specialty Telecommunications,
YY,Technology Services,Internet Software/Services,
CGI,Miscellaneous,Investment Trusts/Mutual Funds,
DFRG,Consumer Services,Restaurants,
CR,Producer Manufacturing,Miscellaneous Manufacturing,
VMC,Non-Energy Minerals,Construction Materials,
COWNL,Finance,Investment Banks/Brokers,
BPFH,Finance,Regional Banks,
AMTD,Finance,Investment Banks/Brokers,
ARU,Non-Energy Minerals,Other Metals/Minerals,
NUE,Non-Energy Minerals,Steel,
YORW,Utilities,Water Utilities,
HIO,Miscellaneous,Investment Trusts/Mutual Funds,
SPE,Miscellaneous,Investment Trusts/Mutual Funds,
AN,Retail Trade,Specialty Stores,
SUNS,Finance,Investment Managers,
MQY,Miscellaneous,Investment Trusts/Mutual Funds,
MIC,Finance,Investment Managers,
CLX,Consumer Non-Durables,Household/Personal Care,
BAX,Health Technology,Medical Specialties,
ANSS,Technology Services,Packaged Software,
BRP,Finance,Multi-Line Insurance,
GLNG,Transportation,Marine Shipping,
TTI,Industrial Services,Oilfield Services/Equipment,
ZION,Finance,Regional Banks,
MMC,Finance,Insurance Brokers/Services,
CVB,Technology Services,Information Technology Services,
WCC,Distribution Services,Wholesale Distributors,
DHIL,Finance,Investment Managers,
PBB,Finance,Investment Managers,
MSEX,Utilities,Water Utilities,
MARPS,Energy Minerals,Oil & Gas Production,
STAR,Finance,Real Estate Investment Trusts,
BECN,Distribution Services,Wholesale Distributors,
FMN,Miscellaneous,Investment Trusts/Mutual Funds,
ABUS,Health Technology,Biotechnology,
PCM,Miscellaneous,Investment Trusts/Mutual Funds,
MYI,Miscellaneous,Investment Trusts/Mutual Funds,
RELL,Electronic Technology,Electronic Production Equipment,
HAWK,Non-Energy Minerals,Precious Metals,
WFT,Non-Energy Minerals,Forest Products,
PRAA,Commercial Services,Miscellaneous Commercial Services,
INDB,Finance,Regional Banks,
OI,Process Industries,Containers/Packaging,
CRC,Energy Minerals,Oil & Gas Production,
OMI,Distribution Services,Medical Distributors,
CZZ,Energy Minerals,Oil Refining/Marketing,
NXQ,Miscellaneous,Investment Trusts/Mutual Funds,
SWC,Finance,Financial Conglomerates,
TJX,Retail Trade,Apparel/Footwear Retail,
CI,Health Services,Managed Health Care,
ELS,Finance,Real Estate Investment Trusts,
HGG,Consumer Non-Durables,Food: Major Diversified,
WIFI,Technology Services,Information Technology Services,
ALB,Process Industries,Chemicals: Specialty,
NKTR,Health Technology,Pharmaceuticals: Major,
TBNK,Finance,Financial Conglomerates,
OLN,Process Industries,Industrial Specialties,
ASND,Health Technology,Biotechnology,
GPRO,Consumer Durables,Electronics/Appliances,
CSQ,Miscellaneous,Investment Trusts/Mutual Funds,
HES,Energy Minerals,Oil & Gas Production,
POWL,Producer Manufacturing,Electrical Products,
ACV,Miscellaneous,Investment Trusts/Mutual Funds,
NI,Utilities,Gas Distributors,
PSA,Finance,Real Estate Investment Trusts,
SEIC,Finance,Investment Managers,
DXB,Miscellaneous,Investment Trusts/Mutual Funds,
BFK,Miscellaneous,Investment Trusts/Mutual Funds,
FEYE,Technology Services,Information Technology Services,
CCL,Consumer Services,Hotels/Resorts/Cruise lines,
AVD,Process Industries,Chemicals: Agricultural,
TVC,Finance,Finance/Rental/Leasing,
CAF,Miscellaneous,Investment Trusts/Mutual Funds,
MGU,Miscellaneous,Investment Trusts/Mutual Funds,
SPTN,Distribution Services,Food Distributors,
GWRE,Technology Services,Information Technology Services,
EAT,Consumer Services,Restaurants,
GMAN,Miscellaneous,Investment Trusts/Mutual Funds,
CNQ,Energy Minerals,Oil & Gas Production,
OTEX,Technology Services,Packaged Software,
BNED,Retail Trade,Specialty Stores,
PNC,Finance,Major Banks,
VRSN,Technology Services,Internet Software/Services,
TCPC,Miscellaneous,Investment Trusts/Mutual Funds,
FINL,Retail Trade,Apparel/Footwear Retail,
PBYI,Health Technology,Biotechnology,
PACW,Finance,Regional Banks,
EPE,Health Technology,Biotechnology,
MSZ,Industrial Services,Engineering & Construction,
PACD,Industrial Services,Contract Drilling,
GLOP,Transportation,Marine Shipping,
CBPX,Producer Manufacturing,Building Products,
EMITF,Finance,Real Estate Development,
RIO,Non-Energy Minerals,Other Metals/Minerals,
NILE,Non-Energy Minerals,Other Metals/Minerals,
NVS,Health Technology,Pharmaceuticals: Major,
DRH,Finance,Real Estate Investment Trusts,
MRIN,Technology Services,Data Processing Services,
ATLC,Finance,Finance/Rental/Leasing,
GMRE,Finance,Real Estate Investment Trusts,
MCK,Distribution Services,Medical Distributors,
FNB,Finance,Regional Banks,
SBW,Consumer Non-Durables,Beverages: Alcoholic,
UGI,Utilities,Gas Distributors,
PRU,Finance,Financial Conglomerates,
CINF,Finance,Property/Casualty Insurance,
HALO,Health Technology,Biotechnology,
USLM,Non-Energy Minerals,Construction Materials,
FRAN,Retail Trade,Apparel/Footwear Retail,
FELE,Producer Manufacturing,Industrial Machinery,
COWN,Finance,Investment Banks/Brokers,
OHI,Finance,Real Estate Investment Trusts,
ININ,Electronic Technology,Electronic Components,
GNT,Miscellaneous,Investment Trusts/Mutual Funds,
HHS,Commercial Services,Advertising/Marketing Services,
VEEV,Technology Services,Packaged Software,
JKHY,Technology Services,Information Technology Services,
HPE,Electronic Technology,Computer Processing Hardware,
BDX,Health Technology,Medical Specialties,
SBGI,Consumer Services,Broadcasting,
BIP,Utilities,Alternative Power Generation,
NFX,Health Technology,Biotechnology,
MHNC,Finance,Life/Health Insurance,
BERY,Process Industries,Containers/Packaging,
VER,Finance,Real Estate Investment Trusts,
BABY,Health Technology,Pharmaceuticals: Other,
SBCF,Finance,Regional Banks,
WST,Health Technology,Medical Specialties,
NCA,Miscellaneous,Investment Trusts/Mutual Funds,
FIT,Consumer Durables,Other Consumer Specialties,
GLDD,Industrial Services,Engineering & Construction,
ATV,Retail Trade,Catalog/Specialty Distribution,
BMRN,Health Technology,Biotechnology,
PBH,Health Technology,Pharmaceuticals: Other,
LAMR,Finance,Real Estate Investment Trusts,
TM,Consumer Durables,Motor Vehicles,
CHDN,Consumer Services,Casinos/Gaming,
HAR,Consumer Durables,Motor Vehicles,
MA,Finance,Finance/Rental/Leasing,
TRP,Industrial Services,Oil & Gas Pipelines,
NNC,Process Industries,Chemicals: Specialty,
NTI,Health Technology,Medical Specialties,
ROG,Process Industries,Chemicals: Specialty,
CBB,Communications,Specialty Telecommunications,
LPI,Energy Minerals,Oil & Gas Production,
KF,Miscellaneous,Investment Trusts/Mutual Funds,
SSS,Finance,Real Estate Investment Trusts,
TEO,Communications,Major Telecommunications,
DSKY,Retail Trade,Apparel/Footwear Retail,
FTK,Industrial Services,Oilfield Services/Equipment,
BBF,Miscellaneous,Investment Trusts/Mutual Funds,
HIW,Finance,Real Estate Investment Trusts,
INWK,Commercial Services,Advertising/Marketing Services,
CXH,Miscellaneous,Investment Trusts/Mutual Funds,
VMO,Miscellaneous,Investment Trusts/Mutual Funds,
PLUS,Distribution Services,Electronics Distributors,
WSR,Finance,Real Estate Investment Trusts,
CHSCO,Process Industries,Agricultural Commodities/Milling,
PEG,Utilities,Electric Utilities,
HAFC,Finance,Regional Banks,
CBOE,Finance,Investment Banks/Brokers,
HOG,Consumer Durables,Motor Vehicles,
RYI,Non-Energy Minerals,Steel,
G,Commercial Services,Miscellaneous Commercial Services,
TERP,Utilities,Alternative Power Generation,
ECPG,Finance,Finance/Rental/Leasing,
CZR,Consumer Services,Casinos/Gaming,
RL,Retail Trade,Apparel/Footwear Retail,
AIMC,Producer Manufacturing,Industrial Machinery,
HRL,Consumer Non-Durables,Food: Meat/Fish/Dairy,
NGL,Industrial Services,Oil & Gas Pipelines,
ITUB,Finance,Major Banks,
MEI,Electronic Technology,Electronic Components,
MAIN,Finance,Investment Managers,
DAC,Transportation,Marine Shipping,
NZF,Miscellaneous,Investment Trusts/Mutual Funds,
XCRA,Non-Energy Minerals,Construction Materials,
STE,Health Technology,Medical Specialties,
IBM,Technology Services,Information Technology Services,
IBTX,Finance,Regional Banks,
WLTW,Finance,Insurance Brokers/Services,
BKE,Retail Trade,Apparel/Footwear Retail,
MMI,Finance,Real Estate Development,
EDR,Consumer Services,Other Consumer Services,
QTM,Producer Manufacturing,Building Products,
LIVN,Health Technology,Medical Specialties,
APD,Process Industries,Chemicals: Specialty,
SEP,Industrial Services,Oilfield Services/Equipment,
EBTC,Finance,Regional Banks,
ODP,Retail Trade,Specialty Stores,
TGA,Energy Minerals,Oil & Gas Production,
TR,Consumer Non-Durables,Food: Specialty/Candy,
KTN,Finance,Finance/Rental/Leasing,
MNTA,Health Technology,Biotechnology,
EGN,Energy Minerals,Oil & Gas Production,
CEQP,Industrial Services,Oil & Gas Pipelines,
PATI,Transportation,Trucking,
BIDU,Technology Services,Internet Software/Services,
HVT,Retail Trade,Specialty Stores,
SUI,Finance,Real Estate Investment Trusts,
LNC,Finance,Life/Health Insurance,
CUB,Electronic Technology,Aerospace & Defense,
BBD,Finance,Major Banks,
SIX,Consumer Services,Movies/Entertainment,
KALU,Non-Energy Minerals,Aluminum,
AT,Utilities,Electric Utilities,
BDC,Producer Manufacturing,Electrical Products,
CSC,Consumer Non-Durables,Food: Major Diversified,
NFBK,Finance,Savings Banks,
SANM,Electronic Technology,Electronic Components,
SPWH,Retail Trade,Specialty Stores,
BCO,Commercial Services,Miscellaneous Commercial Services,
SKYW,Transportation,Airlines,
FUNC,Finance,Regional Banks,
RGS,Consumer Services,Other Consumer Services,
CAC,Finance,Regional Banks,
DXM,Miscellaneous,Investment Trusts/Mutual Funds,
GAME,Technology Services,Packaged Software,
PRTY,Retail Trade,Specialty Stores,
OIA,Miscellaneous,Investment Trusts/Mutual Funds,
PDI,Miscellaneous,Investment Trusts/Mutual Funds,
CUDA,Energy Minerals,Oil & Gas Production,
JPI,Miscellaneous,Investment Trusts/Mutual Funds,
RFI,Miscellaneous,Investment Trusts/Mutual Funds,
GTN,Consumer Services,Broadcasting,
VHI,Process Industries,Chemicals: Specialty,
RST,Consumer Services,Other Consumer Services,
SPXC,Producer Manufacturing,Industrial Conglomerates,
TNK,Transportation,Marine Shipping,
IVR,Finance,Real Estate Investment Trusts,
CXW,Finance,Real Estate Investment Trusts,
MIN,Consumer Services,Other Consumer Services,
PVTB,Finance,Regional Banks,
DIS,Consumer Services,Movies/Entertainment,
CDE,Non-Energy Minerals,Precious Metals,
TI,Non-Energy Minerals,Other Metals/Minerals,
ING,Finance,Financial Conglomerates,
DDS,Retail Trade,Department Stores,
NKX,Miscellaneous,Investment Trusts/Mutual Funds,
IVZ,Finance,Investment Managers,
ACC,Finance,Real Estate Investment Trusts,
GBL,Finance,Investment Managers,
PFGC,Distribution Services,Food Distributors,
HST,Finance,Real Estate Investment Trusts,
HMY,Non-Energy Minerals,Precious Metals,
ORI,Finance,Property/Casualty Insurance,
ACAD,Health Technology,Biotechnology,
SHAK,Consumer Services,Restaurants,
TMH,Finance,Investment Banks/Brokers,
COP,Energy Minerals,Oil & Gas Production,
DUKH,Utilities,Electric Utilities,
TROW,Finance,Investment Managers,
AVK,Miscellaneous,Investment Trusts/Mutual Funds,
TWIN,Producer Manufacturing,Trucks/Construction/Farm Machinery,
FSS,Producer Manufacturing,Trucks/Construction/Farm Machinery,
MD,Health Services,Medical/Nursing Services,
ANFI,Finance,Financial Conglomerates,
NSH,Commercial Services,Miscellaneous Commercial Services,
B,Producer Manufacturing,Industrial Machinery,
AVV,Technology Services,Packaged Software,
EBAYL,Consumer Services,Other Consumer Services,
ASGN,Commercial Services,Personnel Services,
DPM,Non-Energy Minerals,Precious Metals,
PIR,Finance,Property/Casualty Insurance,
SRT,Commercial Services,Miscellaneous Commercial Services,
ALLE,Producer Manufacturing,Building Products,
FCNCA,Finance,Regional Banks,
ICA,Industrial Services,Engineering & Construction,
WEYS,Distribution Services,Wholesale Distributors,
COR,Finance,Real Estate Investment Trusts,
ACHC,Health Services,Medical/Nursing Services,
EVC,Consumer Services,Broadcasting,
EMR,Producer Manufacturing,Electrical Products,
LUX,Non-Energy Minerals,Precious Metals,
HSC,Producer Manufacturing,Metal Fabrication,
SEDG,Producer Manufacturing,Electrical Products,
KODK,Electronic Technology,Electronic Equipment/Instruments,
ODC,Process Industries,Chemicals: Agricultural,
AWR,Utilities,Water Utilities,
KRNY,Finance,Savings Banks,
PBI,Producer Manufacturing,Office Equipment/Supplies,
TEVA,Health Technology,Pharmaceuticals: Generic,
PEGA,Technology Services,Information Technology Services,
FENG,Consumer Services,Broadcasting,
VRX,Non-Energy Minerals,Other Metals/Minerals,
CMTL,Electronic Technology,Telecommunications Equipment,
STL,Finance,Regional Banks,
DXPE,Distribution Services,Wholesale Distributors,
GBT,Health Technology,Biotechnology,
CGNX,Electronic Technology,Electronic Equipment/Instruments,
TRST,Finance,Regional Banks,
PNK,Energy Minerals,Oil & Gas Production,
BOKF,Finance,Regional Banks,
TDE,Communications,Wireless Telecommunications,
VOXX,Electronic Technology,Telecommunications Equipment,
AUY,Non-Energy Minerals,Precious Metals,
CIEN,Electronic Technology,Telecommunications Equipment,
SYY,Distribution Services,Food Distributors,
JEQ,Miscellaneous,Investment Trusts/Mutual Funds,
HPF,Miscellaneous,Investment Trusts/Mutual Funds,
NDAQ,Finance,Investment Banks/Brokers,
TWOU,Technology Services,Packaged Software,
NU,Technology Services,Internet Software/Services,
PMF,Miscellaneous,Investment Trusts/Mutual Funds,
LEG,Consumer Durables,Home Furnishings,
BBVA,Finance,Major Banks,
NCMI,Commercial Services,Advertising/Marketing Services,
PERI,Technology Services,Internet Software/Services,
LUV,Transportation,Airlines,
OMC,Commercial Services,Advertising/Marketing Services,
GMT,Finance,Real Estate Investment Trusts,
CSV,Consumer Services,Other Consumer Services,
NMA,Non-Energy Minerals,Precious Metals,
IDT,Communications,Specialty Telecommunications,
ITW,Producer Manufacturing,Industrial Machinery,
OTTR,Utilities,Electric Utilities,
HRC,Health Technology,Medical Specialties,
TTEK,Industrial Services,Environmental Services,
ETN,Producer Manufacturing,Electrical Products,
BZUN,Retail Trade,Catalog/Specialty Distribution,
ESRX,Retail Trade,Drugstore Chains,
PYN,Miscellaneous,Investment Trusts/Mutual Funds,
JRO,Miscellaneous,Investment Trusts/Mutual Funds,
SU,Energy Minerals,Integrated Oil,
CAI,Finance,Finance/Rental/Leasing,
VGR,Consumer Non-Durables,Tobacco,
PEGI,Utilities,Alternative Power Generation,
WFC,Finance,Major Banks,
DLX,Commercial Services,Commercial Printing/Forms,
FSLR,Electronic Technology,Electronic Components,
NSIT,Technology Services,Information Technology Services,
UHAL,Finance,Finance/Rental/Leasing,
ESSA,Finance,Regional Banks,
RGLD,Non-Energy Minerals,Precious Metals,
KWR,Process Industries,Chemicals: Specialty,
EDE,Producer Manufacturing,Industrial Conglomerates,
NSA,Finance,Real Estate Investment Trusts,
OGS,Utilities,Gas Distributors,
ETO,Miscellaneous,Investment Trusts/Mutual Funds,
CMCO,Producer Manufacturing,Trucks/Construction/Farm Machinery,
